province,demographic_group,party,percentage
barcelona,buss,ciu,23.5
barcelona,buss,abstain,25.4
barcelona,buss,erc,7.2
barcelona,buss,icv,7.9
barcelona,buss,psc,6.8
barcelona,buss,cs,11.0
barcelona,buss,cup,2.2
barcelona,buss,si,1.1
barcelona,buss,ppc,14.9
barcelona,ind,abstain,32.42
barcelona,ind,psc,13.64
barcelona,ind,ciu,19.19
barcelona,ind,icv,10.71
barcelona,ind,erc,8.28
barcelona,ind,cs,4.85
barcelona,ind,ppc,9.09
barcelona,ind,cup,1.82
barcelona,middle,ciu,17.54
barcelona,middle,abstain,27.66
barcelona,middle,erc,7.52
barcelona,middle,icv,10.02
barcelona,middle,psc,6.31
barcelona,middle,ppc,13.83
barcelona,middle,cs,14.03
barcelona,middle,cup,1.9
barcelona,middle,si,1.2
barcelona,retired,ciu,29.35
barcelona,retired,abstain,24.29
barcelona,retired,psc,15.99
barcelona,retired,erc,8.3
barcelona,retired,ppc,17.21
barcelona,retired,icv,3.34
barcelona,retired,cs,1.52
barcelona,rural,erc,26.5
barcelona,rural,ciu,25.0
barcelona,rural,psc,23.0
barcelona,rural,abstain,16.0
barcelona,rural,cup,9.5
barcelona,unemployed,abstain,42.08
barcelona,unemployed,ciu,14.53
barcelona,unemployed,erc,8.92
barcelona,unemployed,psc,8.42
barcelona,unemployed,icv,14.53
barcelona,unemployed,ppc,4.11
barcelona,unemployed,cs,4.91
barcelona,unemployed,si,1.2
barcelona,unemployed,cup,1.3
barcelona,young,abstain,44.33
barcelona,young,ciu,12.54
barcelona,young,erc,6.92
barcelona,young,icv,10.03
barcelona,young,psc,5.02
barcelona,young,cup,6.02
barcelona,young,ppc,3.81
barcelona,young,cs,9.33
barcelona,young,si,2.01
girona,buss,ciu,31.43
girona,buss,abstain,24.2
girona,buss,erc,17.1
girona,buss,psc,7.73
girona,buss,ppc,8.83
girona,buss,icv,4.12
girona,buss,si,1.23
girona,buss,cup,2.79
girona,buss,cs,2.57
girona,ind,ciu,24.19
girona,ind,abstain,28.45
girona,ind,erc,16.72
girona,ind,psc,11.66
girona,ind,ppc,8.83
girona,ind,icv,4.66
girona,ind,cs,2.33
girona,ind,cup,2.03
girona,ind,si,1.12
girona,middle,ciu,28.12
girona,middle,abstain,24.48
girona,middle,erc,15.62
girona,middle,icv,7.81
girona,middle,psc,6.77
girona,middle,cup,2.85
girona,middle,cs,3.12
girona,middle,si,1.04
girona,middle,ppc,10.18
girona,retired,ciu,44.6
girona,retired,abstain,25.39
girona,retired,erc,8.29
girona,retired,psc,7.77
girona,retired,ppc,9.05
girona,retired,icv,2.07
girona,retired,cs,1.04
girona,retired,si,1.55
girona,retired,cup,0.24
girona,rural,ciu,29.14
girona,rural,abstain,32.66
girona,rural,erc,16.08
girona,rural,cup,5.74
girona,rural,psc,5.53
girona,rural,si,2.01
girona,rural,icv,3.01
girona,rural,ppc,3.81
girona,rural,cs,2.01
girona,unemployed,ciu,31.62
girona,unemployed,abstain,29.5
girona,unemployed,psc,8.81
girona,unemployed,erc,8.83
girona,unemployed,icv,6.74
girona,unemployed,cs,3.63
girona,unemployed,ppc,6.48
girona,unemployed,cup,2.33
girona,unemployed,si,2.07
girona,young,ciu,27.58
girona,young,abstain,28.05
girona,young,erc,14.81
girona,young,psc,11.11
girona,young,si,1.06
girona,young,cs,3.7
girona,young,icv,4.76
girona,young,ppc,4.53
girona,young,cup,4.4
lleida,buss,ciu,30.92
lleida,buss,abstain,33.33
lleida,buss,erc,10.94
lleida,buss,psc,4.69
lleida,buss,icv,5.21
lleida,buss,ppc,12.83
lleida,buss,si,2.08
lleida,ind,ciu,25.77
lleida,ind,abstain,31.31
lleida,ind,erc,18.18
lleida,ind,icv,5.56
lleida,ind,psc,6.57
lleida,ind,ppc,7.56
lleida,ind,cs,3.03
lleida,ind,si,2.02
lleida,middle,ciu,28.32
lleida,middle,abstain,28.42
lleida,middle,erc,18.95
lleida,middle,psc,4.21
lleida,middle,ppc,7.99
lleida,middle,icv,7.89
lleida,middle,cs,3.16
lleida,middle,si,1.05
lleida,retired,ciu,40.68
lleida,retired,abstain,29.47
lleida,retired,erc,8.42
lleida,retired,psc,6.32
lleida,retired,ppc,13.0
lleida,retired,icv,2.11
lleida,rural,ciu,33.82
lleida,rural,abstain,26.8
lleida,rural,erc,15.46
lleida,rural,icv,4.12
lleida,rural,psc,4.64
lleida,rural,ppc,4.84
lleida,rural,si,2.06
lleida,rural,cs,3.61
lleida,rural,cup,4.64
lleida,unemployed,abstain,38.65
lleida,unemployed,ciu,22.09
lleida,unemployed,erc,12.56
lleida,unemployed,psc,7.73
lleida,unemployed,icv,6.28
lleida,unemployed,si,1.93
lleida,unemployed,cs,3.38
lleida,unemployed,cup,3.38
lleida,unemployed,ppc,4.0
lleida,young,abstain,33.82
lleida,young,erc,16.43
lleida,young,ciu,24.05
lleida,young,cup,2.9
lleida,young,icv,5.8
lleida,young,si,0.97
lleida,young,psc,9.18
lleida,young,ppc,3.96
lleida,young,cs,2.9
tarragona,buss,ciu,25.58
tarragona,buss,erc,22.31
tarragona,buss,abstain,27.18
tarragona,buss,icv,2.02
tarragona,buss,cs,7.05
tarragona,buss,ppc,12.92
tarragona,buss,cup,2.94
tarragona,ind,ciu,28.64
tarragona,ind,abstain,34.17
tarragona,ind,psc,11.06
tarragona,ind,icv,7.04
tarragona,ind,erc,6.03
tarragona,ind,cs,7.54
tarragona,ind,ppc,5.53
tarragona,middle,ciu,22.61
tarragona,middle,abstain,29.15
tarragona,middle,erc,10.05
tarragona,middle,icv,6.53
tarragona,middle,psc,11.06
tarragona,middle,cup,5.03
tarragona,middle,ppc,6.53
tarragona,middle,si,1.01
tarragona,middle,cs,8.04
tarragona,retired,ciu,35.72
tarragona,retired,abstain,30.62
tarragona,retired,erc,9.18
tarragona,retired,ppc,11.22
tarragona,retired,psc,7.14
tarragona,retired,cs,3.06
tarragona,retired,icv,3.06
tarragona,rural,abstain,39.55
tarragona,rural,erc,21.47
tarragona,rural,icv,6.21
tarragona,rural,ciu,9.6
tarragona,rural,psc,12.43
tarragona,rural,ppc,10.73
tarragona,unemployed,abstain,37.62
tarragona,unemployed,ciu,20.79
tarragona,unemployed,erc,7.92
tarragona,unemployed,psc,12.87
tarragona,unemployed,icv,5.94
tarragona,unemployed,cs,6.93
tarragona,unemployed,ppc,4.95
tarragona,unemployed,cup,2.97
tarragona,young,abstain,31.53
tarragona,young,ciu,18.72
tarragona,young,erc,8.87
tarragona,young,icv,4.92
tarragona,young,ppc,9.85
tarragona,young,psc,9.85
tarragona,young,cup,5.91
tarragona,young,cs,8.38
tarragona,young,si,1.97
